F0030|Chicken Tikka Masala|Tender chunks of chicken in a creamy, spiced tomato-based sauce|15.99
F0096|Tandoori Chicken|A classic Indian dish featuring chicken marinated in yogurt and spices, then roasted in a clay oven|16.50
F0029|Bibimbap|A Korean dish featuring rice topped with sautéed vegetables, gochujang sauce, and an egg|10.75
F0033|Cannoli|A Sicilian pastry tube filled with sweetened ricotta cheese and often chocolate chips|3.99
F0080|Beef Rendang|A flavorful Indonesian dish featuring beef simmered in a spicy coconut milk sauce|15.25
F0028|Macarons|Delicate French meringue-based sandwich cookies with a variety of flavored fillings|2.75
F0060|Dim Sum|A variety of small, steamed or fried Chinese dishes often served in bamboo baskets|18.99
F0041|Gnocchi|Small, soft dumplings made from potatoes, flour, and eggs, often served with sauce|13.99
F0036|Guacamole|A fresh and flavorful dip made from mashed avocados, lime juice, onions, and cilantro|6.25
F0054|Meatballs|Savory balls of ground meat, often served with pasta or in a sandwich|9.99
F0092|Pho|A Vietnamese noodle soup featuring rice noodles, herbs, and a flavorful broth|11.50
F0003|Sushi Roll|A roll of vinegared rice combined with raw fish and vegetables|9.50
F0076|Escargots|Baked snails typically served with garlic butter sauce and bread for dipping|11.75
F0064|Beef Wellington|A classic British dish featuring a tender beef tenderloin coated in pâté and wrapped in puff pastry|24.99
F0048|Beef Stroganoff|Tender beef in a rich, creamy mushroom sauce, typically served over noodles|17.25
F0020|Chili|A hearty and flavorful stew made with meat, beans, tomatoes, and a blend of spices|9.99
F0050|Paella|A Spanish rice dish featuring a variety of meats, seafood, vegetables, and saffron|19.99
F0091|Bulgogi|A Korean dish featuring thinly sliced, marinated beef that is grilled and often served with rice and vegetables|14.75
F0053|Chicken Curry|A flavorful dish featuring chicken in a spiced curry sauce with vegetables|14.25
F0071|Lobster Bisque|A rich and creamy soup made with lobster and seafood stock|9.99
F0037|Crab Cakes|Savory patties made from lump crab meat, breadcrumbs, and various seasonings|15.75
F0059|Ratatouille|A French dish featuring stewed vegetables like eggplant, zucchini, tomatoes, and herbs|12.99
F0094|Elote|A Mexican street food featuring grilled corn on the cob slathered in mayonnaise, cheese, and spices|5.25
F0010|Cupcakes|Small, individual-sized cakes with a variety of flavors and frostings|3.25
F0005|Tacos|Corn or flour tortillas filled with seasoned meat, lettuce, cheese, and other toppings|6.75
F0954|Tom Yum Soup|Aromatic Thai soup with lemongrass, galangal, kaffir lime leaves, chilies, shrimp, mushrooms, and tomatoes | 19.75
F0311|Croque Monsieur|French toasted ham and cheese sandwich with béchamel sauce | 8.25
